,0.8 for missing a title or for need to improve clarity of message; else .5 for non-chart submission
student_id,dataviz_grade
25,1
19,1
2,1
21,1
24,1
30,1
35,1
36,1
29,1
11,1
17,1
12,1
18,1
28,1
6,1
8,1
4,1
34,0.8
27,0.8
20,0.8
16,0.8
7,0.8
31,0.8
23,0.8
9,0.8
26,0.5
15,0.5
10,0
22,0
1,0
3,0
32,0
13,0
5,0
14,0
33,0
