criteria:,see accompanying file for student evaluation scoring methodology,top marks for slick demos and confident speakers,
group_id,peer_evaluation,prof_evaluation,group_presentation_grade
W,100.00,93.00,96.50
V,96.52,93.00,94.76
T,92.17,97.00,94.59
Y,94.78,90.00,92.39
R,90.43,93.00,91.72
S,84.35,83.00,83.67
X,83.48,83.00,83.24
U,80.00,83.00,81.50
Z,78.26,83.00,80.63
